Timestamp,TP9,AF7,AF8,TP10,RightAUX

1732201843.109069,-25.390625,-169.921875,-621.58203125,-46.875,0.0
1732201843.1129746,-12.6953125,-170.41015625,-634.27734375,-39.55078125,0.0
1732201843.1168802,-1.953125,-156.73828125,-557.6171875,-54.19921875,0.0
1732201843.1207857,-28.80859375,-166.9921875,-627.9296875,-69.3359375,0.0
1732201843.1246912,-81.0546875,-191.89453125,-740.72265625,-77.63671875,0.0
1732201843.1285965,-98.6328125,-194.82421875,-724.609375,-60.05859375,0.0
1732201843.132502,-56.15234375,-172.36328125,-659.66796875,-34.1796875,0.0
1732201843.1364076,-80.56640625,-161.62109375,-662.59765625,-37.59765625,0.0
1732201843.1403131,-132.32421875,-206.0546875,-793.45703125,-68.359375,0.0
1732201843.1442187,-126.46484375,-217.7734375,-879.8828125,-79.58984375,0.0
1732201843.1481242,-138.671875,-160.15625,-714.84375,-65.91796875,0.0
1732201843.1520298,-240.234375,-161.62109375,-673.828125,-46.38671875,0.0
1732201843.1559424,-150.390625,-162.59765625,-708.49609375,-72.75390625,0.0
1732201843.159848,-147.94921875,-155.2734375,-738.28125,-97.16796875,0.0
1732201843.1637533,-236.328125,-161.62109375,-752.44140625,-87.40234375,0.0
1732201843.1676588,-144.53125,-161.1328125,-745.1171875,-62.5,0.0
1732201843.1715643,-142.578125,-162.109375,-747.0703125,-46.38671875,0.0
1732201843.1754699,-158.203125,-170.41015625,-775.87890625,-60.05859375,0.0
1732201843.1793754,-145.01953125,-157.71484375,-777.83203125,-86.42578125,0.0
1732201843.183281,-142.578125,-153.3203125,-811.5234375,-101.5625,0.0
1732201843.1871865,-147.94921875,-183.10546875,-844.23828125,-85.9375,0.0
1732201843.191092,-151.85546875,-153.80859375,-770.5078125,-58.10546875,0.0
1732201843.1949975,-156.25,-117.1875,-720.703125,-67.87109375,0.0
1732201843.198903,-154.78515625,-146.97265625,-827.1484375,-103.515625,0.0
1732201843.202815,-151.3671875,-156.73828125,-905.76171875,-114.2578125,0.0
1732201843.2067206,-147.94921875,-132.8125,-791.50390625,-90.33203125,0.0
1732201843.2106261,-134.27734375,-127.44140625,-725.09765625,-80.56640625,0.0
1732201843.2145317,-125.48828125,-143.06640625,-764.6484375,-97.16796875,0.0
1732201843.2184372,-127.44140625,-149.4140625,-852.05078125,-103.515625,0.0
1732201843.2223427,-109.86328125,-151.85546875,-879.39453125,-109.86328125,0.0
1732201843.2262483,-138.671875,-130.37109375,-789.55078125,-105.46875,0.0
1732201843.2301538,-154.78515625,-138.18359375,-819.3359375,-70.80078125,0.0
1732201843.2340593,-132.8125,-150.390625,-870.1171875,-83.0078125,0.0
1732201843.2379649,-155.76171875,-105.46875,-759.27734375,-129.39453125,0.0
1732201843.2418704,-161.1328125,-132.8125,-828.61328125,-122.0703125,0.0
1732201843.2457757,-130.859375,-142.578125,-875.48828125,-123.046875,0.0
1732201843.2496877,-124.51171875,-109.86328125,-787.59765625,-121.58203125,0.0
1732201843.2535932,-126.953125,-95.703125,-678.22265625,-125.48828125,0.0
1732201843.2574987,-152.34375,-116.69921875,-744.62890625,-142.08984375,0.0
1732201843.2614043,-145.5078125,-125.0,-808.10546875,-124.0234375,0.0
1732201843.2653098,-113.28125,-118.65234375,-776.3671875,-102.05078125,0.0
1732201843.2692153,-100.09765625,-113.76953125,-740.72265625,-93.75,0.0
1732201843.2731209,-96.6796875,-105.95703125,-711.9140625,-119.140625,0.0
1732201843.2770262,-113.76953125,-139.16015625,-770.01953125,-139.16015625,0.0
1732201843.2809317,-114.2578125,-120.1171875,-753.41796875,-140.625,0.0
1732201843.2848372,-122.0703125,-86.9140625,-675.29296875,-154.296875,0.0
1732201843.2887428,-128.90625,-117.67578125,-683.59375,-148.92578125,0.0
1732201843.2926483,-119.62890625,-126.46484375,-691.89453125,-132.8125,0.0
1732201843.2965598,-131.34765625,-110.83984375,-632.32421875,-123.046875,0.0
1732201843.3004653,-113.76953125,-122.0703125,-676.7578125,-138.671875,0.0
1732201843.3043709,-100.09765625,-147.4609375,-801.7578125,-158.69140625,0.0
1732201843.3082764,-114.74609375,-129.39453125,-739.74609375,-169.921875,0.0
1732201843.312182,-137.6953125,-104.98046875,-577.1484375,-179.6875,0.0
1732201843.3160875,-154.78515625,-125.9765625,-645.5078125,-185.05859375,0.0
